,work_program_id,description_text
2500,3649,"Образовательная программа реализуется в форме факультативного практико-ориентированного образовательного курса, в котором примут участие обучающиеся вузов Санкт-Петербурга. Программа курса ориентирована на обучающихся, которых интересует добровольческая деятельность и менеджмент социальных проектов.
Преимуществом данной программы является упор на практическую работу участников, выполняемую под руководством и контролем руководителей НКО, что обеспечивает грамотную реализацию добровольческого проекта. Также преимуществом курса является возможность знакомства участников со всем спектром направлений добровольческой деятельности. Таким образом после прохождения курса участники смогут осознать масштаб социальных задач, которые стоят перед Правительством города, и найти применение своим идеям и знаниям.

В рамках образовательной программы участники знакомятся с основными теоретическими понятиями добровольческой деятельности, узнают о том, как организовывать добровольческие мероприятия и в дальнейшем развивать свои социальные проекты. Также для участников проходят выездные занятия в НКО города и практические занятия, во время которых они узнают о специфике работы добровольцев в приютах для животных, об особенностях проведения тренинговых мероприятий в детских домах, о процессе сдачи донорами крови, об особенностях работы с пожилыми людьми и людьми с особенностями развития. 

В результате обучения студентами наряду с получением комплексных знаний по тематике курса, будут реализованы индивидуальные краткосрочные добровольческие проекты. По окончании программы участники смогут применить полученные умения и компетенции для грамотного выстраивания и планирования деятельности в социальной сфере"
2503,20038,"Цель изучения данного курса – глубокое освоение современных методов и методик проектирования и анализа излучения сложных электродинамических систем на основе компьютерного моделирования. В основе курса лежит представление фундаментальных принципов теории электромагнитного поля таким образом, чтобы учащиеся смогли легко применить их к задачам анализа и проектирования антенн. Курс начинается с рассмотрения общих физических принципов, на которых основы-вается теория электромагнитного поля, что требуется для понимания принципов излуче-ния радиоволн антеннами. Далее в применении к анализу антенн последовательно рас-сматриваются три базовых численных метода: метод конечных разностей во временной области (КРВО), метод моментов (ММ) и метод конечных элементов (МКЭ). Поскольку метод КРВО непосредственно аппроксимирует уравнения Максвелла, основное место в курсе уделено именно ему. Подробно рассматриваются общая структура КРВО-программ, программное представление расчетной области и преобразование урав-нений Максвелла в конечно-разностную форму, классический алгоритм Йи, простран-ственно-временная дискретизация материальных объектов, проблемы устойчивости, чис-ленной сходимости метода, поглощающие граничные условия, идеально-согласованные слои (perfectly matched layers, PML) и т.п. При изучении метода моментов рассматриваются общие математические принципы ММ, интегральные уравнения для произвольной проволочной структуры, алгоритмиче-ская и программная реализация формирования СЛАУ и представления моделей возбужде-ния, осуществляется обучение практическому решению систем интегральных уравнений на ЭВМ. Параллельно рассматриваются методики численного интегрирования, диффе-ренцирования и т.п. Метод конечных элементов представлен в виде узловой скалярной реализации, поз-воляющей решать скалярные уравнения Лапласа и Пуассона, либо осесимметричные век-торные задачи уравнения Гельмгольца для одного из векторов электромагнитного поля. Последовательно рассматривается процедура решения одномерных, двумерных задач, ре-ализация узлового МКЭ в среде MATLAB и практическое решение двумерной задачи из-лучения элементарного магнитного диполя. Подавляющее число занятий являются практическими. Цель практических занятий – самостоятельная пошаговая подготовка студентами алгоритмов расчета антенн, реализа-ция алгоритмов в среде MATLAB в виде готовых программ. Основной упор в дисциплине делается на приведении физики, математики и основ программирования к понятному для студента уровню, развитие творческого и нестандартного мышления, повышение научного потенциала обучаемых. Исходя из тенденции широкого внедрения при проектировании радиотехнических систем современных программных комплексов, таких как CST Microwave Studio, ANSYS HFSS, FEKO, COMSOL и т.п., глубокое понимание процессов, моделируемых данными программными продуктами за счет умения самостоятельно их реализовывать в виде алго-ритмов является крайне актуальным для будущих инженеров – специалистов широкого профиля. Курс является уникальным, ориентирован на развитие у студентов научного не-стандартного подхода к разработке сложных электродинамических систем."
2504,20040,"Изучив курс «Антенны», вы узнаете конструкции и структурные схемы антенн различных типов и условия их применения, основные параметры антенн и способы и методы электродинамического расчёта и экспериментального определения этих параметров; сумеете обосновать применение того или иного типа антенны в зависимости от поставленной задачи. В современном мире всё большее количество информации передаётся от отправителя к получателю в виде электромагнитных сигналов – радиоволн. Однако никакой самый совершенный передатчик или самый чувствительный приёмник не будет работать без антенны. Причём эта антенна должна быть определённого типа и иметь совершенно определённые характеристики, чтобы обеспечивать заданный режим работы всего радиоустройства. В рамках курса вы встретитесь и с некоторыми знакомыми вам в быту типами антенн и узнаете, что «тарелка» для приёма спутникового телевидения и огромная чаша радиотелескопа – это один и тот же тип антенны: зеркальная антенна. Что телескопическая антенна, выдвигаемая из переносного приёмника, является несимметричной вибраторной антенной. Или, например, что часть антенн на самолётах - это щелевые антенны, которые не выступают за пределы фюзеляжа, и, значит, не нарушают аэродинамические характеристики самолёта."
2505,20041,"Численное моделирование составляет неотъемлемую часть современной фундаментальной и прикладной науки, причем по важности оно приближается к традиционным экспериментальным и теоретическим методам. Поэтому будущие научные работники, инженеры и преподаватели обязательно должны владеть технологией компьютерного моделирования, уметь исследовать различные физические явления и процессы с помощью компьютера. Целью данного курса является формирование и развитие навыков слушателей, необходимых для применения языка программирования Python 3 с библиотеками NumPy, SymPy и Matplotlib для проведения научных вычислений, обработки и визуализации данных. Язык программирования Python обладает ясным и понятным синтаксисом и хорош для программирования математических вычислений. Основное внимание будет уделено рассмотрению пакетов, используемых в научных вычислениях – NumPy, SciPy, Matplotlib и SymPy. В них реализованы классические численные алгоритмы решения уравнений, задач линейной алгебры, вычисления определенных интегралов, аппроксимации, решения дифференциальных уравнений и их систем. Пакет Matplotlib обладает хорошо развитыми возможностями визуализации двумерных и трехмерных данных."
2506,20042,Научно-исследовательская работа является неотъемлемой частью освоения образовательной программы
2507,20043,"Производственная, научно-исследовательская практика - это важная часть освоения образовательной программы"
2508,20039,"Целью курса является изучение электромагнитных свойств метаматериалов и метаповерхностей. Для этого при изучении курса решаются следующие задачи: ознакомление с основными свойствами электромагнитных волн в периодических структурах. Изучаются понятия макроскопических (усредненных) материальных параметров изотропных и бианизотропных сред. Приводятся примеры физической реализации подобных сред и описывается связь усредненных параметров с микроструктурой элементарных ячеек (мета атомов). Вводится физическая классификация мета-атомов. Рассматриваются методы аналитического решения задачи о падении плоской электромагнитной волны на слой метаматериала. Также изучаются двумерные периодические структуры с субволновой периодичностью (метаповерхности) и вводится их физическая и функциональная классификации. Описываются основные типы метаповерхностей и приводятся примеры их применения в радиочастотном диапазоне, в частности, в антенной технике"
2509,20037,"Цель изучения данного курса – глубокое освоение современных методов и методик проектирования и анализа излучения сложных электродинамических систем на основе компьютерного моделирования. В основе курса лежит представление фундаментальных принципов теории электромагнитного поля таким образом, чтобы учащиеся смогли легко применить их к задачам анализа и проектирования антенн. Курс начинается с рассмотрения общих физических принципов, на которых основы-вается теория электромагнитного поля, что требуется для понимания принципов излуче-ния радиоволн антеннами. Далее в применении к анализу антенн последовательно рас-сматриваются три базовых численных метода: метод конечных разностей во временной области (КРВО), метод моментов (ММ) и метод конечных элементов (МКЭ). Поскольку метод КРВО непосредственно аппроксимирует уравнения Максвелла, основное место в курсе уделено именно ему. Подробно рассматриваются общая структура КРВО-программ, программное представление расчетной области и преобразование урав-нений Максвелла в конечно-разностную форму, классический алгоритм Йи, простран-ственно-временная дискретизация материальных объектов, проблемы устойчивости, чис-ленной сходимости метода, поглощающие граничные условия, идеально-согласованные слои (perfectly matched layers, PML) и т.п. При изучении метода моментов рассматриваются общие математические принципы ММ, интегральные уравнения для произвольной проволочной структуры, алгоритмиче-ская и программная реализация формирования СЛАУ и представления моделей возбужде-ния, осуществляется обучение практическому решению систем интегральных уравнений на ЭВМ. Параллельно рассматриваются методики численного интегрирования, диффе-ренцирования и т.п. Метод конечных элементов представлен в виде узловой скалярной реализации, поз-воляющей решать скалярные уравнения Лапласа и Пуассона, либо осесимметричные век-торные задачи уравнения Гельмгольца для одного из векторов электромагнитного поля. Последовательно рассматривается процедура решения одномерных, двумерных задач, ре-ализация узлового МКЭ в среде MATLAB и практическое решение двумерной задачи из-лучения элементарного магнитного диполя. Подавляющее число занятий являются практическими. Цель практических занятий – самостоятельная пошаговая подготовка студентами алгоритмов расчета антенн, реализа-ция алгоритмов в среде MATLAB в виде готовых программ. Основной упор в дисциплине делается на приведении физики, математики и основ программирования к понятному для студента уровню, развитие творческого и нестандартного мышления, повышение научного потенциала обучаемых. Исходя из тенденции широкого внедрения при проектировании радиотехнических систем современных программных комплексов, таких как CST Microwave Studio, ANSYS HFSS, FEKO, COMSOL и т.п., глубокое понимание процессов, моделируемых данными программными продуктами за счет умения самостоятельно их реализовывать в виде алго-ритмов является крайне актуальным для будущих инженеров – специалистов широкого профиля. Курс является уникальным, ориентирован на развитие у студентов научного не-стандартного подхода к разработке сложных электродинамических систем."
2510,33292,"The purpose of the discipline is to study and master the concepts and algorithms underlying modern artificial intelligence by students. The objectives of the discipline are the study and assimilation by students of the following issues: familiarity with classification, optimization and neural networks; gaining experience with machine learning algorithms; studying the principles of artificial intelligence, which will allow students to develop their own intelligent systems applicable to chemical, physical-chemical and chemical-technological processes."
2512,33294,"В рамках курса студенты изучат сущность цифровой экономики, цифровой трансформации бизнеса. Получат знания по инструментальным средствам цифровой экономики, сквозным технологиям, новым бизнес-моделям."
2514,11873,"The course is designed to master the skills of local and remote work with the GNU LInux operating system, as well as to get acquainted with the basic principles of operation of operating systems."
2522,20076,"The course aims at giving the students the basics of modern photonics and consider the basic practical tasks in this area. The course begins with a study of the theory of metallic and dielectric waveguides and optical resonators. The physical effects underlying the control of electromagnetic radiation are examined in detail. We will study methods that allow us to analyze the capture of light in resonators and its propagation in the simplest waveguide systems. Moreover, the course presents the basics of the theory of photonic crystals, coupled modes approach and scattering theory including Mie-task"
2524,33300,"Студенты получат теоретические знания и практические навыки в области описания, моделирования и анализа бизнес-процессов хозяйствующих субъектов с использованием современных инструментальных средств."
2527,11900,"As of 2018, according to a UNESCO report, the number of scientists in the world is approaching 9 million, publishing more than 1 million research papers per year in all scientific disciplines. One of the leaders in terms of the amount of published data is nanophotonics, covering disciplines from biophysics to theoretical mechanics. However, how and why should we, as scientists, process and understand this sea of data? Which of the published articles really deserves our attention and can be considered a certain trend? How to critically and independently assess the importance of someone else's scientific work and understand its relevance? This course will help you with these issues, aimed at developing critical thinking, analyzing the hidden details of scientific articles and then presenting modern trends through a presentation in a simple language accessible to a broad audience. Goal of mastering the discipline The discipline is designed to develop critical scientific thinking, skills in parsing new scientific material and searching for the real meaning of research work, as well as teaching students the skills of presenting relevant scientific results in a public language for a professional and broad audience, which may include scientific and pop speeches, interviews, and diploma theses. In case of successful completion of the course, the results of training will be • Acquiring critical scientific thinking skills • Acquiring the skill of analyzing the details of scientific texts • Acquiring the skill of scientific speaking in front of a broad audience • Acquisition of the skill of presentations constructing • Acquiring the skill of scientific discussion and scientific criticism • Skill in using modern databases for targeted search and selection of scientific articles • Skill in using modern information technologies for visualization and presentation of information"
2528,20092,Pre-graduation Internship is performed by all students during the last semester of studying
2529,20093,"Research Internship is implemented in the master`s program for 4 semesters and is mandatory for all students. During the research practice, students as part of scientific groups try their hand at solving creative problems"
2531,20095,"Плазмоника изучает физические явления, возникающие при взаимодействии света с металлическими или сильно легированными полупроводниковыми структурами.
Собственные колебания свободных носителей заряда в таких структурах (плазмоны) могут взаимодействовать с внешним электромагнитным полем. Это приводит к появлению плазмон-поляритонов - волн, энергия которых складывается из энергии плазмонов и энергии фотонов. В отличие от обычных электромагнитных волн, плазмон-поляритоны обладают сильной пространственной локализацией на оптических частотах, что потенциально позволяет создавать оптоэлектронные устройства, сенсоры и лазеры субволнового размера.
В рамках курса будут рассмотрены фундаментальные основы взаимодействия света с плазменными колебаниями вещества, изложены методы описания плазмонных свойств одиночных металлических наночастиц и их массивов"
2532,20091,Preparation for the defense and defense of the WRC - the final part of the study on the educational program of the master's program
2534,20097,"Оригинальный курс «Фотоника» содержит основную информацию о широком классе природных и искусственных фотонных объектов, включая упорядоченные и неупорядоченные фотонные кристаллы, магнитофотонные и плазмонные структуры, фотонные стекла Леви, различные метаматериалы. Обсуждается фундаментальная аналогия между электронной зонной структурой обычных «атомарных» кристаллов и фотонной зонной структурой объектов, имеющих периодическое строение в одном, двух или трех измерениях. Обсуждаются резонансные явления, которые лежат в основе управления световыми потоками, функционирования наноантенн, устройств сенсорики и фотовольтаики. Рассматриваются основные технологические методы синтеза и диагностики фотонных структур"
2535,20098,"Содержание дисциплины охватывает круг вопросов, связанных с описанием фундаментальных электронных, оптических и магнитооптических свойств полупроводниковых наноструктур.  На базе методов квантовой зонной теории и теории симметрии рассматриваются энергетические спектры в полупроводниковых гетероструктурах пониженной размерности  и наноструктурах на основе кубических и гексагональных полупроводников со структурой цинковой обманки и  вюрцита.  Особое внимание уделяется специфике эффектов размерного квантования электронных и экситонных состояний в зависимости от формы и размера наноструктуры и выбору теоретических моделей для их описания. Изучаются правила отбора оптических переходов и тонкая структура экситонного спектра полупроводниковых наноструктур: квантовых ям, квантовых нитей, квантовых точек и нанокристаллов, а также структур с экстремальной двумерностью.  Приводятся и обсуждаются основные экспериментальные и теоретические результаты из области оптических и магнито-оптических исследований полупроводниковых наноструктур – как в аспекте исторического развития, так и с целью освещения последних достижений мировой науки в этой области."
2536,20099,"Метаматериалы (ММ) — это специальные композиционные материалы, которые получаются искусственной модификацией внедряемых в них элементов, благодаря которой эти материалы приобретают совершенно новые свойства, которых нет у материалов природного происхождения.   
Курс Электродинамики ММ является разделом современной физики, в котором рассматриваются структуры ММ, определённые размерами, формой, взаимным расположением метаатомов (элементов, частиц) и изучается взаимодействие электромагнитного  поля с этими структурами. Этот  курс является начальной  базой для  современных   задач радиофизики, оптики, фотоники и включает в себя несколько  разделов: 1) Виды, классификация ММ и их  разработка; 2) Активные ММ; 3) Среда и суперлинза Веселаго-Пендри; 4) Маскирующие  покрытия на основе ММ с использованием аппарата  трансформационной оптики; 5) Акустические ММ и их  использование  в практических  задачах."
2537,20096,"В курсе будут рассмотрены актуальные наноматериалы  (квантовые точки и квантовые ямы, фуллерены, нанотрубки,  графен, детонационные наноалмазы, полупроводниковые нановискеры и др.) и их необычные физические свойства.  Будут приведены примеры применения наноматериалов для создания устройств  наноэлектроники, оптоэлектроники, сенсорики, фотовольтаики и элементов  энергонезависимой памяти. Будут рассмотрены основные технологические методы  синтеза наноматериалов (основные характеристики этих методов, а также их  преимущества и недостатки). Будут рассмотрены основные методы диагностики  наноматериалов."
2539,20101,"Рассматриваются распространение света и оптические явления в диэлектриках. После уравнений Максвелла и волнового уравнения рассматриваются физика показателя преломления вещества, соотношение Крамерса-Кронига, Лоренцовская модель диэлектрика, и поглощение и усиление электромагнитного излучения веществом, выводятся основные соотношения, описывающие принципы лазеров. Анализируется связь микро- и макроскопических свойств материалов. Изучается распространение электромагнитного излучения в анизотропных средах, градиентных средах и оптических волноводах, даются основные представления о волоконной и интегральной оптике. Рассматриваются фотоупругий эффект и фотон-фононное взаимодействие, электрооптическое взаимодействие, а также нелинейно-оптические явления."
2540,20103,"Программа дисциплины охватывает вопросы физики и технологии полупроводниковых фотоэлектрических преобразователей, изучает особенности функционирования различных их типов: кремниевых, тонкопленочных многокомпонентных, многопереходных неорганических и органических. Особое внимание уделено технологии изготовления различных солнечных элементов и анализу факторов, влияющих на эффективность преобразован"
2541,20100,"Курс «Линейная и нелинейная магнитофотоника» предоставляет студентам уникальную возможность проследить развитие знаний о взаимодействии излучения с магнитными средами от открытия первого магнитооптического эффекта Майклом Фарадеем в середине 19 столетия до интригующих результатов последних лет по сверхбыстрой магнитной записи данных фемтосекундными лазерными импульсами. Опираясь на теоретические знания о магнитофотонике, мы рассмотрим наиболее актуальные проблемы управления светом в магнитных наноструктурах и управления состоянием таких наноструктур светом."
2542,11917,"Computer simulations have become a vital part of modern physics saving time and resources and giving researchers a competitive edge. Since there are so many numerical methods and approaches to computations in physics, we select a few fundamental approaches. We pay special attention to common associated difficulties and pitfalls and cover them by self-test sections for each task in the assignment. Once you complete the assignment you will have enough experience to implement other methods not covered in the course, such as RCWA, DDA, MoM, FIT, FVM, PIC. You will also have more insight when running a simulation using some available software. In research, it is vitally important to understand the underlying machinery of the numerical methods utilized. This course will help you to avoid wrong simulation results and time wasted struggling with unnecessary difficulties that would not have arisen if a more appropriate numerical method had been selected. For example, one typical error is to use a time-domain method to investigate a model with a high Q-factor, whereas in general, it is preferable to start with a frequency domain or eigenmode solver. After completing the course, you will have the experience to select the best tools to accelerate your research."
2548,20116,Научно-исследовательская работа реализуется на образовательной программе в течение всех 4 семестров обучения
2549,33307,"Целью изучения дисциплины является получение студентами навыков в области 3D-моделирования технических процессов, объектов окружающей среды, роботизированных процессов"
2560,11948,"В дисциплине рассматриваются вопросы поиска информация, в том числе прямой поиск и поиск по индексу, матрица ""термин-документ"" и инвертированный индекс, словари и списки словопозиций, булев поиск, обработка булевых запросов.
Изучаются особенности национальных языков для задач информационного поиска. Рассматриваются языковые модели в информационном поиске, алгоритмы фразовых запросов, запросов с расстояниями, биграммный индекс, координатный индекс. Изучается поиск в вебе: история, особенности, анализ структуры ссылок, PageRank."
2570,20142,"Целью освоения дисциплины является достижение следующих результатов обучения: знание направления развития мировой энергетики, физический смысл происходящих процессов, методологию расчета тепло-гидродинамических характеристик энергетических установок, основные направления энергоснабжения, методы энергопреобразования будущего; умение пользоваться прикладными программами технико- экономического анализа и сопоставления замкнутых термодинамических систем, производить тепловые, прочностные и гидравлические расчеты паросиловых установок и тепловых насосов (ПСУ и ТН), анализировать эффективность альтернативных методов энергосбережения; владение методами эксергетического анализа термодинамических прямых и обратных циклов, системами ЕСК при проектировании, методами теоретического анализа эффективности циклов ПСУ и ТН, методами компьютерного моделирования ПСУ и ТН."
2572,11959,"В рамках производственной, проектно-технологической практики осуществляется закрепление и углубление теоретических знаний в сфере ФудТех, приобретение практических навыков и компетенций, опыта самостоятельной профессиональной деятельности."
2573,33312,"Целью дисциплины является достижение следующих результатов обучения: знание термодинамической теории рабочих процессов, принципы работы и конструкции холодильных машин, основные требования экологической безопасности при использовании энергетического оборудования; умение выполнять расчеты и подбор основных элементов холодильных машин систем холодоснабжения; владеть навыком выполнения научных исследований."
2574,33314,"Дисциплина ""Основы программирования и алгоритмизации"" является вводным курсом в программирование на языке Python. Подробно даются основные наиболее известные алгоритмы , что позволяет разобраться в их анализе студентам с начальными знаниями в математике и программировании. В курсе описаны одни из самых популярных постановок задач, которые часто являются составной частью более сложных практических задач и предложены стандартные пути их решения. Все представленные в курсе алгоритмы сопровождаются описаниями методов для анализа их производительности, что дает достаточную теоретическую и практическую подготовку для самостоятельной разработки и последующего анализа алгоритмов завершившими курс студентами."
2576,32713,"Согласно исследованиям, за час человек принимает около 2000 решений, представляете? Нужно ли мне поесть? А пойти ли сегодня гулять? Какой выпить кофе? Часто мы не задумываемся о своих решениях и принимаем их автоматически. А иногда наоборот, думаем очень долго и все равно никак не можем принять решение. Например, при выборе вуза: какой выбрать? В каком городе? А нужно ли мне это вообще? Или может у нас есть большой проект (стартап, статья и пр.) в котором, мы принимает различные управленческие и технические решения.
Все мы хотим принимать «правильные» решения, вот только инструкции нигде нет...
 
На курсе мы будем использовать инструменты поэтапного анализа решений для выбора наилучшего, учитывая наши эмоциональные состояния и полезность решений. Мы рассмотрим различные влияющие аспекты: ресурсы, мотив, страхи и т.п. После занятий вы сможете более осознанно принимать решения как в личной жизни, так и в профессиональных областях деятельности."
